iris;Nom;mediane;year
593500104;lille centre 4;26860;2018
593500105;lille centre 5;27690;2018
593500111;lille centre 11;23300;2018
593500112;lille centre 12;28440;2018
593500113;lille centre 13;20530;2018
593500115;lille centre 15;15640;2018
593500116;lille centre 16;26470;2018
593500117;lille centre 17;22050;2018
593500118;lille centre 18;25730;2018
593500119;lille centre 19;27310;2018
593500201;vieux lille 1;27100;2018
593500202;vieux lille 2;22200;2018
593500203;vieux lille 3;24620;2018
593500204;vieux lille 4;27100;2018
593500205;vieux lille 5;30050;2018
593500206;vieux lille 6;28970;2018
593500207;vieux lille 7;16890;2018
593500303;Catinat;15890;2018
593500304;Cordonnier;16340;2018
593500305;Colson;23140;2018
593500306;Arbonnoise;22930;2018
593500307;Lille-Acier;22630;2018
593500308;Grande Brasserie;23490;2018
593500309;Lestiboudois;24140;2018
593500401;Montebello;18490;2018
593500402;Sarrazins;14010;2018
593500403;Magenta-Fombello;14430;2018
593500404;Flandre;19440;2018
593500405;Brigode;26590;2018
593500406;Franklin;22080;2018
593500407;Stations;23220;2018
593500408;Justice;16710;2018
593500409;Mairie;22690;2018
593500410;Barthélemy;20800;2018
593500502;Seclin;13870;2018
593500503;Arsenal;16100;2018
593500504;Fac de Droit;13860;2018
593500506;Arras;16670;2018
593500507;Belfort;12130;2018
593500508;Trevise;16110;2018
593500601;Baltique-Vieux Faubourg;19640;2018
593500602;Concorde 1;11220;2018
593500603;Verhaeren;12520;2018
593500604;Concorde 2;10620;2018
593500702;Faubourg des Postes A;15260;2018
593500703;Faubourg des Postes B;14880;2018
593500704;Croisette A;12650;2018
593500705;Croisette B;11670;2018
593500706;Giraudoux;12690;2018
593500707;400 Maisons-Cimetière du Sud;14160;2018
593500710;Faubourg de Douai;18750;2018
593500711;Balzac-Lazarre Garreau;13290;2018
593500801;Marx Dormoy;24910;2018
593500802;Canteleu;23680;2018
593500803;Vieux Bois-Blancs;19040;2018
593500804;Aviateurs;13210;2018
593500901;Buisson;30320;2018
593500902;Notre Dame de Pellevoisin;28380;2018
593500903;Pellevoisin-Rouges Barres;20560;2018
593500905;Saint-Maurice-cimetière de l'Est;25870;2018
593500906;Saint-Maurice des Champs;22050;2018
593500907;Saint-Maurice-Briqueterie;22550;2018
593500908;Saint-Maurice-Saint-Gabriel;22800;2018
593501001;Centre;16010;2018
593501002;entree lille fives;14900;2018
593501003;Caulier;14960;2018
593501004;Marbrerie;19710;2018
593501005;Lannoy;18350;2018
593501006;Convention;17670;2018
593501007;Mont de Terre;18180;2018
593501008;Petit Maroc;16130;2018
593502402;epine mont de terre 2;16450;2018
593502403;epine mont de terre 3;21640;2018
593502404;epine mont de terre 4;20010;2018
593502501;Centre 1;22400;2018
593502502;Centre 2;20390;2018
593502503;Centre 3;17630;2018
593502601;Les Sarts 1;14540;2018
593502602;Les Sarts 2;21190;2018
593502603;Les Sarts 3;22850;2018
593502702;Bourg Délivrance 2;19310;2018
593502703;Bourg Délivrance 3;22870;2018
593502704;Bourg Délivrance 4;22710;2018
593502705;Bourg Délivrance 5;22890;2018
593502801;mitterie 1;19590;2018
593502802;mitterie 2;18850;2018
593502901;mont a camp-marais 1;17700;2018
593502902;mont a camp-marais 2;20930;2018
593502903;mont a camp-marais 3;20970;2018
593502904;mont a camp-marais 4;17310;2018
593503001;sud marais 1;20240;2018
593503002;sud marais 2;17760;2018
593503003;sud marais 3;16280;2018
XXX;Lille;19320;2018
XXX;MEL;20690;2018
XXX;Nord;20040;2018
XXX;Hauts de France;20110;2018
XXX;France;21730;2018
